terminal,seccion,CCH,ICH
E26549000,0.5,1.4,2.15
E11838400,0.35,1,1.8
E11838400,0.5,1.05,1.9
E26548800,4,2.5,5.25
E26548800,6,2.8,5.55
3202980X8,2.5,1.8,VERF
E26549100,4,2.3,4.35
E26549100,6,2.55,4.65
E11837700,1,1.3,2.3
3202590A3,0.5,1.15,VERF
3202590A3,0.75,1.18,VERF
